,Environment,Transition Type,Num GT Clusters,Num Learned Clusters,Num Rollouts,Algorithm,Initialisation,Replicate,Iterations,Responsibility Matrix,Reward Weights,Runtime (s)
43,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,43,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.613031564861542, 9.590272935514244], [9.722159149592576, 0.0], [9.631841857847284, 0.0], [10.0, 9.672065221276233], [9.881993088484515, 6.380115892973168]]]",9.753738
44,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,44,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.319231322979126, 9.47614784983077], [10.0, 0.0], [9.206089983791562, 0.0], [9.963792209400703, 9.327004222306865], [9.728348800215509, 6.320910706811369]]]",10.030366
45,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,45,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.267580469810989, 9.49099473096797], [9.936492238543826, 0.0], [10.0, 0.0], [9.169506811001902, 8.941027415786323], [9.838246299649114, 7.286983008602328]]]",10.11685
46,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,46,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.354454735799308, 9.41397312720629], [9.9226594376501, 0.0], [9.981452236098713, 0.0], [8.439827087160495, 8.301562735992531], [9.789199480623383, 5.152702391832628]]]",10.112919
47,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,47,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.337667348290607, 9.59141175721437], [9.729852866484707, 0.0], [10.0, 0.0], [9.372519847257236, 9.015501607586364], [9.916460214040272, 0.0]]]",10.785468
48,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,48,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.554148256715802, 9.68867132875243], [9.774405784066367, 0.0], [9.913816323028243, 0.0], [10.0, 9.242750487846731], [9.910838829013953, 6.474169173314213]]]",9.668522
49,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,49,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.70581302220575, 9.503020479683919], [9.687683347770538, 0.0], [9.744774617132833, 0.0], [10.0, 9.113653696370577], [9.646121119305812, 5.860956711155087]]]",9.726206
50,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,50,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.451837481867363, 9.427722970216024], [9.716610783750394, 0.0], [9.552312657673221, 0.0], [10.0, 9.202855989180465], [9.645121717880563, 7.1083087734861845]]]",9.655605
51,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,51,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.021843326223204, 9.564307619072519], [10.0, 0.0], [9.726168834036152, 0.0], [9.656024753504592, 9.745476545811773], [9.958286316968612, 6.332768529371891]]]",9.669133
52,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,52,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.815101910624211, 9.775927857245188], [10.0, 0.0], [9.953447209617254, 0.0], [9.815343744441359, 8.814073863223161], [9.927602251949715, 6.113405342261823]]]",9.795113
